ID,sp_id,Order,Family,Genus,Species,AcceptedFamily_COL,AcceptedGenus_COL,AcceptedName_COL,Species_ph_Fritz,Species_ph_Upham,Notes,tax_id,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantOther,Vend_Vect_Fish_Unk,Vend_Vect_Fish_Unk_Ins_Scav,Fruit_Nect_Seed_Plant,Locomotion,BM_g,Diet_class,Diet_cat
16,M_17,Primates,Cheirogaleidae,Allocebus,Allocebus trichotis,Cheirogaleidae,Allocebus,Allocebus trichotis,Allocebus_trichotis,Allocebus_trichotis,ET,868,0,0,0,0,0,0,50,0,0,50,0,0,100,Arboreal,77.5,Herbivore,OmnHerbFrugSeed
17,M_18,Primates,Atelidae,Alouatta,Alouatta belzebul,Atelidae,Alouatta,Alouatta belzebul,Alouatta_belzebul,Alouatta_belzebul,ET,39957,0,0,0,0,0,0,40,0,0,60,0,0,100,Arboreal,6400,Herbivore,OmnHerbFrugSeed
18,M_19,Primates,Atelidae,Alouatta,Alouatta caraya,Atelidae,Alouatta,Alouatta caraya,Alouatta_caraya,Alouatta_caraya,ET,41545,0,0,0,0,0,0,40,0,0,60,0,0,100,Arboreal,5862.461,Herbivore,OmnHerbFrugSeed
19,M_20,Primates,Atelidae,Alouatta,Alouatta guariba,Atelidae,Alouatta,Alouatta guariba,Alouatta_guariba,Alouatta_guariba,ET,39916,0,0,0,0,0,0,40,0,0,60,0,0,100,Arboreal,5188.33,Herbivore,OmnHerbFrugSeed
20,M_21,Primates,Atelidae,Alouatta,Alouatta macconnelli,Atelidae,Alouatta,Alouatta macconnelli,Alouatta_macconnelli,Alouatta_macconnelli,ET,40642,0,0,0,0,0,0,40,0,0,60,0,0,100,Arboreal,6320.058,Herbivore,OmnHerbFrugSeed
21,M_22,Primates,Atelidae,Alouatta,Alouatta palliata,Atelidae,Alouatta,Alouatta palliata,Alouatta_palliata,Alouatta_palliata,ET,39960,0,0,0,0,0,0,40,0,0,60,0,0,100,Arboreal,7274.95,Herbivore,OmnHerbFrugSeed
22,M_23,Primates,Atelidae,Alouatta,Alouatta pigra,Atelidae,Alouatta,Alouatta pigra,Alouatta_pigra,Alouatta_pigra,ET,914,0,0,0,0,0,0,40,0,0,60,0,0,100,Arboreal,7000.032,Herbivore,OmnHerbFrugSeed
23,M_24,Primates,Atelidae,Alouatta,Alouatta sara,Atelidae,Alouatta,Alouatta sara,Alouatta_sara,Alouatta_sara,ET,41546,0,0,0,0,0,0,40,0,0,60,0,0,100,Arboreal,6611.043,Herbivore,OmnHerbFrugSeed
24,M_25,Primates,Atelidae,Alouatta,Alouatta seniculus,Atelidae,Alouatta,Alouatta seniculus,Alouatta_seniculus,Alouatta_seniculus,ET,198676562,0,0,0,0,0,0,40,0,0,60,0,0,100,Arboreal,6145.539,Herbivore,OmnHerbFrugSeed
30,M_31,Primates,Aotidae,Aotus,Aotus azarae,Aotidae,Aotus,Aotus azarae,Aotus_azarae,Aotus_azarae,ET,41539,20,0,0,0,10,0,20,10,20,20,10,30,70,Arboreal,929.57,Omnivore,OmnHerbFrugSeed
31,M_32,Primates,Aotidae,Aotus,Aotus lemurinus,Aotidae,Aotus,Aotus lemurinus,Aotus_lemurinus,Aotus_lemurinus,ET,1808,20,0,0,0,10,0,20,10,20,20,10,30,70,Arboreal,872.9907,Omnivore,OmnHerbFrugSeed
32,M_33,Primates,Aotidae,Aotus,Aotus nancymaae,Aotidae,Aotus,Aotus nancymaae,Aotus_nancymaae,Aotus_nancymaae,ET,41540,20,0,0,0,10,0,20,10,20,20,10,30,70,Arboreal,788.0069,Omnivore,OmnHerbFrugSeed
33,M_34,Primates,Aotidae,Aotus,Aotus nigriceps,Aotidae,Aotus,Aotus nigriceps,Aotus_nigriceps,Aotus_nigriceps,ET,41542,20,0,0,0,10,0,20,10,20,20,10,30,70,Arboreal,1060.01,Omnivore,OmnHerbFrugSeed
34,M_35,Primates,Aotidae,Aotus,Aotus vociferans,Aotidae,Aotus,Aotus vociferans,Aotus_vociferans,Aotus_vociferans,ET,41544,20,0,0,0,10,0,20,10,20,20,10,30,70,Arboreal,872.9915,Omnivore,OmnHerbFrugSeed
39,M_40,Primates,Lorisidae,Arctocebus,Arctocebus aureus,Lorisidae,Arctocebus,Arctocebus aureus,Arctocebus_aureus,Arctocebus_aureus,ET,2053,70,0,0,0,0,0,30,0,0,0,0,70,30,Arboreal,235,Omnivore,OmnCarnIns
42,M_42,Primates,Atelidae,Ateles,Ateles belzebuth,Atelidae,Ateles,Ateles belzebuth,Ateles_belzebuth,Ateles_belzebuth,ET,2276,10,0,0,0,10,0,60,0,10,10,10,20,80,Arboreal,5000,Herbivore,OmnHerbFrugSeed
43,M_43,Primates,Atelidae,Ateles,Ateles chamek,Atelidae,Ateles,Ateles chamek,Ateles_chamek,Ateles_chamek,ET,41547,10,0,0,0,10,0,60,0,10,10,10,20,80,Arboreal,5999.983,Herbivore,OmnHerbFrugSeed
44,M_44,Primates,Atelidae,Ateles,Ateles geoffroyi,Atelidae,Ateles,Ateles geoffroyi,Ateles_geoffroyi,Ateles_geoffroyi,ET,2279,10,0,0,0,10,0,60,0,10,10,10,20,80,Arboreal,5284.939,Herbivore,OmnHerbFrugSeed
45,M_646,Primates,Atelidae,Ateles,Ateles hybridus,Atelidae,Ateles,Ateles hybridus,Ateles_hybridus,Ateles_hybridus,ET,39961,10,0,0,0,10,0,60,0,10,10,10,20,80,Arboreal,6394.848087,Herbivore,OmnHerbFrugSeed
46,M_45,Primates,Atelidae,Ateles,Ateles paniscus,Atelidae,Ateles,Ateles paniscus,Ateles_paniscus,Ateles_paniscus,ET,2283,10,0,0,0,10,0,60,0,10,10,10,20,80,Arboreal,7900.053,Herbivore,OmnHerbFrugSeed
48,M_46,Primates,Indriidae,Avahi,Avahi laniger,Indriidae,Avahi,Avahi laniger,Avahi_laniger,Avahi_laniger,ET,2434,0,0,0,0,0,0,20,0,0,80,0,0,100,Arboreal,900,Herbivore,Herbivore
49,M_594,Primates,Indriidae,Avahi,Avahi mooreorum,Indriidae,Avahi,Avahi mooreorum,NA,Avahi_mooreorum,ET,16971566,0,0,0,0,0,0,0,0,0,100,0,0,100,Arboreal,850,Omnivore,Herbivore
50,M_47,Primates,Indriidae,Avahi,Avahi occidentalis,Indriidae,Avahi,Avahi occidentalis,Avahi_occidentalis,Avahi_occidentalis,ET,2435,0,0,0,0,0,0,0,0,0,100,0,0,100,Arboreal,800,Herbivore,Herbivore
60,M_56,Primates,Atelidae,Brachyteles,Brachyteles arachnoides,Atelidae,Brachyteles,Brachyteles arachnoides,Brachyteles_arachnoides,Brachyteles_arachnoides,ET,2993,0,0,0,0,0,0,20,10,20,50,0,0,100,Arboreal,13499.88,Herbivore,OmnHerbFrugSeed
61,M_57,Primates,Atelidae,Brachyteles,Brachyteles hypoxanthus,Atelidae,Brachyteles,Brachyteles hypoxanthus,Brachyteles_hypoxanthus,Brachyteles_hypoxanthus,ET,2994,0,0,0,0,0,0,20,10,0,70,0,0,100,Arboreal,13499.88,Herbivore,OmnHerbFrugSeed
64,M_60,Primates,Hylobatidae,Bunopithecus,Bunopithecus hoolock,Hylobatidae,Hoolock,Hoolock hoolock,Bunopithecus_hoolock,Hoolock_hoolock,ET,39876,10,0,0,0,0,0,70,0,0,20,0,10,90,Arboreal,6699,Herbivore,OmnHerbFrugSeed
65,M_61,Primates,Pitheciidae,Cacajao,Cacajao calvus,Pitheciidae,Cacajao,Cacajao calvus,Cacajao_calvus,Cacajao_calvus,ET,3416,10,0,0,0,10,0,70,0,0,10,10,20,80,Arboreal,5796.022,Herbivore,OmnHerbFrugSeed
66,M_62,Primates,Pitheciidae,Cacajao,Cacajao melanocephalus,Pitheciidae,Cacajao,Cacajao melanocephalus,Cacajao_melanocephalus,Cacajao_melanocephalus,ET,3417,10,0,0,0,10,0,70,0,0,10,10,20,80,Arboreal,3100,Herbivore,OmnHerbFrugSeed
67,M_582,Primates,Pitheciidae,Callicebus,Callicebus brunneus,Pitheciidae,Plecturocebus,Plecturocebus brunneus,Callicebus_brunneus,Callicebus_brunneus,ET,41558,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,992.4074,Herbivore,OmnHerbFrugSeed
68,M_63,Primates,Pitheciidae,Callicebus,Callicebus cupreus,Pitheciidae,Plecturocebus,Plecturocebus cupreus,Callicebus_cupreus,Callicebus_cupreus,ET,41551,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,914.9977,Herbivore,OmnHerbFrugSeed
69,M_64,Primates,Pitheciidae,Callicebus,Callicebus discolor,Pitheciidae,Plecturocebus,Plecturocebus discolor,Callicebus_discolor,Callicebus_discolor,ET,41553,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1005,Herbivore,OmnHerbFrugSeed
70,M_65,Primates,Pitheciidae,Callicebus,Callicebus dubius,Pitheciidae,Plecturocebus,Plecturocebus caligatus,Callicebus_dubius,Callicebus_dubius,ET,3549,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,992.4074,Herbivore,OmnHerbFrugSeed
71,M_66,Primates,Pitheciidae,Callicebus,Callicebus lucifer,Pitheciidae,Cheracebus,Cheracebus lucifer,Callicebus_lucifer,Callicebus_lucifer,ET,41564,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1500,Herbivore,OmnHerbFrugSeed
72,M_67,Primates,Pitheciidae,Callicebus,Callicebus lugens,Pitheciidae,Cheracebus,Cheracebus lugens,Callicebus_lugens,Callicebus_lugens,ET,41563,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1011.32,Herbivore,OmnHerbFrugSeed
73,M_68,Primates,Pitheciidae,Callicebus,Callicebus melanochir,Pitheciidae,Callicebus,Callicebus melanochir,Callicebus_melanochir,Callicebus_melanochir,ET,39930,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1370,Herbivore,OmnHerbFrugSeed
74,M_69,Primates,Pitheciidae,Callicebus,Callicebus nigrifrons,Pitheciidae,Callicebus,Callicebus nigrifrons,Callicebus_nigrifrons,Callicebus_nigrifrons,ET,39943,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1011.32,Herbivore,OmnHerbFrugSeed
75,M_70,Primates,Pitheciidae,Callicebus,Callicebus ornatus,Pitheciidae,Plecturocebus,Plecturocebus ornatus,Callicebus_ornatus,Callicebus_ornatus,ET,39928,20,0,0,0,0,0,70,0,0,10,0,20,80,Arboreal,1170.5,Herbivore,OmnHerbFrugSeed
76,M_71,Primates,Pitheciidae,Callicebus,Callicebus pallescens,Pitheciidae,Plecturocebus,Plecturocebus pallescens,Callicebus_pallescens,Callicebus_pallescens,ET,41549,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,800,Herbivore,OmnHerbFrugSeed
77,M_72,Primates,Pitheciidae,Callicebus,Callicebus personatus,Pitheciidae,Callicebus,Callicebus personatus,Callicebus_personatus,Callicebus_personatus,ET,3555,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1349.988,Herbivore,OmnHerbFrugSeed
78,M_73,Primates,Pitheciidae,Callicebus,Callicebus purinus,Pitheciidae,Cheracebus,Cheracebus purinus,Callicebus_purinus,Callicebus_purinus,ET,41565,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1011.32,Herbivore,OmnHerbFrugSeed
79,M_74,Primates,Pitheciidae,Callicebus,Callicebus regulus,Pitheciidae,Cheracebus,Cheracebus regulus,Callicebus_regulus,Callicebus_regulus,ET,41566,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1011.32,Herbivore,OmnHerbFrugSeed
80,M_75,Primates,Pitheciidae,Callicebus,Callicebus torquatus,Pitheciidae,Cheracebus,Cheracebus torquatus,Callicebus_torquatus,Callicebus_torquatus,ET,41562,20,0,0,0,0,0,50,0,0,30,0,20,80,Arboreal,1050.002,Herbivore,OmnHerbFrugSeed
81,M_76,Primates,Callitrichidae,Callimico,Callimico goeldii,Callitrichidae,Callimico,Callimico goeldii,Callimico_goeldii,Callimico_goeldii,ET,3564,40,0,0,0,10,0,50,0,0,0,10,50,50,Arboreal,479.9986,Omnivore,OmnCarnIns
82,M_77,Primates,Callitrichidae,Callithrix,Callithrix argentata,Callitrichidae,Mico,Mico argentatus,Callithrix_argentata,Mico_argentatus,ET,41520,20,0,0,0,20,0,60,0,0,0,20,40,60,Arboreal,439.9973,Omnivore,OmnHerbFrugSeed
83,M_78,Primates,Callitrichidae,Callithrix,Callithrix aurita,Callitrichidae,Callithrix,Callithrix aurita,Callithrix_aurita,Callithrix_aurita,ET,3570,20,0,0,0,10,0,30,40,0,0,10,30,70,Arboreal,342.0031,Omnivore,OmnHerbFrugSeed
84,M_79,Primates,Callitrichidae,Callithrix,Callithrix flaviceps,Callitrichidae,Callithrix,Callithrix flaviceps,Callithrix_flaviceps,Callithrix_flaviceps,ET,3571,20,0,0,0,10,0,30,40,0,0,10,30,70,Arboreal,342.0031,Omnivore,OmnHerbFrugSeed
